epoch,time,train_loss,val_loss,train_loss_q,train_loss_reg,val_loss_q,val_loss_reg
0,9.382950067520142,353.54308166503904,168.72434997558594,353.51568298339845,0.027397053316235542,168.7017822265625,0.022567685693502426
1,9.325831890106201,181.69531860351563,167.55828857421875,181.6717559814453,0.023563532158732414,167.53073120117188,0.027559254318475723
2,9.37864899635315,146.21866455078126,105.599853515625,146.18554077148437,0.033121265843510626,105.55547332763672,0.04438389465212822
3,9.675341606140137,108.01245574951172,75.77033996582031,107.96348419189454,0.0489715576171875,75.71411895751953,0.05621793493628502
4,9.507828950881958,78.34684600830079,64.21941375732422,78.29339294433593,0.05345516353845596,64.16460418701172,0.05481092631816864
5,9.358036279678345,61.363713073730466,37.880950927734375,61.308589935302734,0.055122265964746474,37.82891082763672,0.05203951150178909
6,9.585299253463745,44.06720123291016,34.371620178222656,44.01390838623047,0.053293310850858686,34.321258544921875,0.05036298930644989
7,9.755610227584839,38.26538619995117,27.06135368347168,38.21810531616211,0.04727993384003639,27.015836715698242,0.045516278594732285
8,9.54150104522705,31.130713653564452,24.81124496459961,31.086019897460936,0.04469380229711532,24.77238655090332,0.03885835036635399
9,9.380203247070312,26.8160457611084,25.427236557006836,26.77602195739746,0.04002375230193138,25.386289596557617,0.04094638302922249
10,9.530900716781616,24.171510696411133,18.87567138671875,24.134434509277344,0.037076476216316226,18.83912467956543,0.036545876413583755
11,9.721900939941406,19.90775260925293,16.902042388916016,19.870909881591796,0.036842893809080124,16.867765426635742,0.03427649289369583
12,9.765419244766235,17.431970596313477,15.799388885498047,17.398086929321288,0.033883871883153914,15.766481399536133,0.032907843589782715
13,9.344775199890137,15.47491512298584,13.477118492126465,15.441697692871093,0.03321756795048714,13.443607330322266,0.03351154178380966
14,9.554190874099731,13.434139251708984,13.13215446472168,13.40259838104248,0.03154074363410473,13.102348327636719,0.029805732890963554
15,9.793467044830322,12.28602409362793,12.599984169006348,12.257014274597168,0.02901000455021858,12.569543838500977,0.030440067872405052
16,9.626176595687866,11.208750534057618,10.368084907531738,11.18054370880127,0.028207002952694894,10.338600158691406,0.029484620317816734
17,9.524312019348145,9.770670700073243,10.372259140014648,9.744018173217773,0.02665239982306957,10.346198081970215,0.026061126962304115
18,9.783594608306885,9.241491508483886,10.938226699829102,9.216895866394044,0.024595461785793304,10.912094116210938,0.026132287457585335
19,10.375527143478394,8.955172729492187,8.959915161132812,8.930465698242188,0.02470684126019478,8.939493179321289,0.02042168192565441
20,9.968339920043945,7.890600395202637,8.699681282043457,7.868585205078125,0.022015276178717614,8.676152229309082,0.023528724908828735
21,9.68291974067688,7.497064208984375,9.216583251953125,7.473471069335938,0.0235930860042572,9.1942138671875,0.02236916869878769
22,9.793365716934204,7.3603759765625,8.551111221313477,7.3388340950012205,0.02154170162975788,8.528042793273926,0.023068690672516823
23,9.79403305053711,6.858522701263428,7.987792015075684,6.839086437225342,0.019436274841427802,7.968364238739014,0.01942778006196022
24,9.675014019012451,6.438725471496582,8.13045597076416,6.41971435546875,0.01901095062494278,8.111673355102539,0.018782716244459152
25,9.45486569404602,6.243480682373047,7.924370765686035,6.225130271911621,0.018350356072187424,7.906425952911377,0.017944958060979843
26,9.650330066680908,5.9497119903564455,7.8147125244140625,5.930071544647217,0.01964046135544777,7.794057846069336,0.020654916763305664
27,9.79654049873352,5.688373756408692,8.107892036437988,5.668368816375732,0.020004865154623984,8.088427543640137,0.019464608281850815
28,9.66440725326538,5.558854675292968,8.065033912658691,5.539327907562256,0.019526897743344308,8.04694938659668,0.018085001036524773
29,9.562335014343262,5.327960395812989,7.894166946411133,5.308653068542481,0.019307390227913855,7.875066757202148,0.019100097939372063
30,9.673604488372803,5.063980007171631,8.022786140441895,5.043409538269043,0.020570501685142517,8.00350570678711,0.01928067021071911
31,10.04649829864502,4.941265678405761,8.201488494873047,4.920632171630859,0.020633458346128463,8.1834077835083,0.01808115839958191
32,9.937454223632812,4.814520931243896,8.21240234375,4.796020984649658,0.018499934673309328,8.197380065917969,0.015021823346614838
33,9.749035358428955,4.61444845199585,8.33195972442627,4.597372436523438,0.017076040804386138,8.313920021057129,0.018039409071207047
34,9.786824226379395,4.449363756179809,8.606417655944824,4.432176542282105,0.017187143117189406,8.592082023620605,0.01433570683002472
35,9.937395095825195,4.3562346458435055,8.923412322998047,4.341661596298218,0.014573098532855511,8.908975601196289,0.0144363883882761
