epoch,time,train_loss,val_loss,train_loss_q,train_loss_reg,val_loss_q,val_loss_reg
0,8.21700382232666,340.5613647460938,168.87437438964844,340.5610748291016,0.0002858871768694371,168.87411499023438,0.0002607138594612479
1,8.1310555934906,169.41606750488282,119.08242797851562,169.4157928466797,0.0002728959254454821,119.08216094970703,0.00026753905694931746
2,8.118560075759888,117.50717163085938,86.9874038696289,117.50688323974609,0.0002873741497751325,86.98707580566406,0.00032529744203202426
3,8.416916608810425,80.314990234375,75.65262603759766,80.31459197998046,0.0003986965399235487,75.6521224975586,0.0005024569109082222
4,8.260164022445679,65.99146881103516,44.46127700805664,65.99091949462891,0.0005490669573191553,44.46064376831055,0.0006317452061921358
5,8.148927688598633,51.408023834228516,25.273324966430664,51.40738754272461,0.0006374130491167307,25.272689819335938,0.0006341974367387593
6,8.258841514587402,37.272393798828126,30.525869369506836,37.27168426513672,0.0007098666159436106,30.525142669677734,0.0007266871398314834
7,8.368250370025635,33.69361839294434,20.5478458404541,33.69293746948242,0.0006809810292907059,20.547143936157227,0.0007022686186246574
8,8.232482194900513,27.79546012878418,22.486412048339844,27.794786071777345,0.0006739839795045554,22.485824584960938,0.0005868024309165776
9,8.083915710449219,24.427779769897462,17.025365829467773,24.427144622802736,0.0006350038456730545,17.024747848510742,0.0006183060468174517
10,8.340322971343994,20.737535858154295,17.467618942260742,20.736940002441408,0.0005959221161901951,17.467021942138672,0.0005969416815787554
11,8.58931565284729,18.496188354492187,13.114434242248535,18.495601654052734,0.0005872763809747994,13.113797187805176,0.0006373226642608643
12,8.420842409133911,15.983162307739258,13.352282524108887,15.982556533813476,0.0006055211997590959,13.351639747619629,0.000642647675704211
13,8.185799837112427,14.271904182434081,11.300358772277832,14.27127571105957,0.0006283339695073664,11.299699783325195,0.0006593997240997851
14,8.549388885498047,12.733935546875,11.042184829711914,12.73328971862793,0.0006460060947574675,11.04153823852539,0.0006470673251897097
15,8.598400592803955,11.360477256774903,10.147790908813477,11.35986042022705,0.0006167817395180464,10.147226333618164,0.0005647384678013623
16,8.560124158859253,10.412801933288574,9.900480270385742,10.412197494506836,0.0006042527500540018,9.89986801147461,0.0006122196791693568
17,8.470962762832642,9.462438011169434,9.168581008911133,9.461828231811523,0.0006098844693042338,9.167943954467773,0.00063707196386531
18,8.440916061401367,8.778836441040038,9.466660499572754,8.778242778778075,0.0005934835062362254,9.466068267822266,0.0005920169060118496
19,8.663037300109863,8.220321083068848,8.343022346496582,8.219785499572755,0.0005355374538339675,8.342512130737305,0.0005099328700453043
20,8.52836298942566,7.6338598251342775,8.682077407836914,7.633344841003418,0.0005148630705662071,8.681567192077637,0.0005098459077998996
21,8.2722487449646,7.218600940704346,8.00931453704834,7.218118286132812,0.0004827156313695014,8.008813858032227,0.0005009641172364354
22,8.489644765853882,6.804001712799073,8.506123542785645,6.803527355194092,0.0004743706260342151,8.505633354187012,0.0004900996573269367
23,8.669836521148682,6.527617740631103,7.979095935821533,6.527180957794189,0.00043673484469763935,7.978684902191162,0.0004109472793061286
24,8.44631838798523,6.175919437408448,8.448162078857422,6.175520992279052,0.0003984666196629405,8.447779655456543,0.00038229901110753417
25,8.270066261291504,5.929709720611572,8.246347427368164,5.929335689544677,0.00037407322670333085,8.245954513549805,0.0003928217338398099
26,8.535393953323364,5.598776149749756,8.279911041259766,5.598396492004395,0.00037970366538502275,8.279520034790039,0.0003905900230165571
27,8.639599323272705,5.431084251403808,8.040483474731445,5.430715942382813,0.00036836400395259263,8.040109634399414,0.00037423608591780066
28,8.575957298278809,5.1110326766967775,8.147453308105469,5.110667705535889,0.0003649751131888479,8.147083282470703,0.0003700046509038657
29,8.398626804351807,4.989404201507568,8.261298179626465,4.989055728912353,0.0003484621760435402,8.260994911193848,0.0003028746577911079
30,8.505003213882446,4.707271671295166,8.329298973083496,4.706931400299072,0.0003403099370189011,8.328960418701172,0.00033862973214127123
31,8.49960708618164,4.567744731903076,8.395001411437988,4.567408657073974,0.0003360562666784972,8.394716262817383,0.0002856065984815359
32,8.50704574584961,4.428977394104004,8.600862503051758,4.428673982620239,0.0003033693705219775,8.600587844848633,0.0002742562210187316
33,8.385485172271729,4.208488178253174,8.877043724060059,4.208180665969849,0.0003075093030929565,8.876713752746582,0.0003302636032458395
34,8.39254641532898,4.052707719802856,8.79278564453125,4.052386617660522,0.00032102789264172317,8.792479515075684,0.0003056709247175604
35,8.548040866851807,3.9564810276031492,8.893835067749023,3.956200122833252,0.0002808953053317964,8.89356803894043,0.00026700732996687293
36,8.42430853843689,3.8688836097717285,9.160706520080566,3.8686187267303467,0.0002647967339726165,9.16043758392334,0.00026919570518657565
37,8.3680899143219,3.7160033226013183,9.496254920959473,3.7157401561737062,0.00026314604037906973,9.495988845825195,0.0002657928562257439
38,8.333556652069092,3.556998062133789,9.280529975891113,3.5567368030548097,0.0002612511394545436,9.280261039733887,0.0002688415697775781
39,8.595272064208984,3.4730875968933104,9.123860359191895,3.4728414535522463,0.00024618149909656496,9.123628616333008,0.00023163678997661918
40,8.547156810760498,3.43030424118042,9.264471054077148,3.430053472518921,0.00025075434823520484,9.264238357543945,0.0002328636619495228
41,8.430605173110962,3.3834017276763917,9.657474517822266,3.38308367729187,0.00031805093749426305,9.657265663146973,0.0002087071625282988
