epoch,time,train_loss,val_loss
0,1.1564545631408691,385.5975769042969,185.2317657470703
1,0.9740316867828369,198.41217041015625,187.2688446044922
2,0.8621053695678711,154.80371704101563,108.54940032958984
3,0.8596198558807373,108.48518981933594,73.51160430908203
4,0.9647216796875,77.14569549560547,57.31459426879883
5,0.8590970039367676,56.94310989379883,35.198822021484375
6,0.8443167209625244,42.98635635375977,31.85838508605957
7,0.8585906028747559,37.259422302246094,24.535493850708008
8,0.9822108745574951,31.263647079467773,22.852869033813477
9,0.8718950748443604,26.71998176574707,19.397733688354492
10,0.8677501678466797,22.94049530029297,17.093225479125977
11,0.9932868480682373,19.59504852294922,14.652322769165039
12,0.8604857921600342,17.22847137451172,14.326831817626953
13,0.8533506393432617,15.488638305664063,11.409640312194824
14,0.969667911529541,13.621623992919922,10.450057029724121
15,0.8699908256530762,11.894775390625,10.329015731811523
16,0.8710474967956543,10.926926612854004,9.244087219238281
17,0.9738740921020508,9.632671928405761,9.026965141296387
18,0.8652167320251465,8.925312614440918,9.167710304260254
19,0.8717443943023682,8.341882419586181,8.118314743041992
20,0.9812390804290771,7.633418083190918,8.377128601074219
21,0.8827118873596191,7.253800296783448,7.7877397537231445
22,0.862401008605957,6.698808288574218,7.896542549133301
23,0.9865603446960449,6.410654449462891,7.6327314376831055
24,0.8626477718353271,5.999977397918701,7.783547878265381
25,0.8713009357452393,5.77415657043457,7.733729839324951
26,0.8743364810943604,5.511717319488525,7.501097679138184
27,0.9919693470001221,5.187056159973144,7.395768642425537
28,0.8707907199859619,4.959903049468994,7.371486663818359
29,0.8757662773132324,4.805360889434814,7.402371406555176
30,1.0108973979949951,4.57784366607666,7.632286071777344
31,0.8806731700897217,4.384970045089721,7.738616943359375
32,0.8700301647186279,4.256503343582153,7.7798871994018555
33,1.0055594444274902,4.161354351043701,7.739187717437744
34,0.8790130615234375,4.055300664901734,8.011581420898438
35,0.8676657676696777,3.86826229095459,8.509780883789062
36,0.9707012176513672,3.7333774089813234,8.81110668182373
37,0.8505489826202393,3.630424976348877,8.91718864440918
38,0.8623220920562744,3.57378249168396,8.905461311340332
39,0.9633557796478271,3.5481400966644285,8.3201904296875
40,0.8611836433410645,3.5583399295806886,8.525226593017578
41,0.8512167930603027,3.3767812252044678,9.675775527954102
42,0.9884395599365234,3.2284332275390626,9.119239807128906
43,0.8552193641662598,3.1710513114929197,9.17236614227295
44,0.8722383975982666,3.1467971801757812,9.075782775878906
45,0.8568146228790283,3.1414052486419677,9.264792442321777
46,0.9967849254608154,3.0472147464752197,10.270576477050781
47,0.8528883457183838,2.922678899765015,10.167123794555664
48,0.840587854385376,2.8788497924804686,9.925373077392578
49,0.9768402576446533,2.8710630416870115,9.819616317749023
