epoch,time,train_loss,val_loss
0,1.0244042873382568,331.8398681640625,180.88279724121094
1,0.8455030918121338,165.47739868164064,159.1639862060547
2,0.7385437488555908,137.8419982910156,87.05281066894531
3,0.7425367832183838,96.9024887084961,65.10440826416016
4,0.8219337463378906,73.74595794677734,54.38174057006836
5,0.731776237487793,57.77812576293945,33.71586608886719
6,0.7299883365631104,41.61935958862305,31.583898544311523
7,0.7556240558624268,36.2967887878418,23.2445011138916
8,0.8611030578613281,28.86748046875,21.7685604095459
9,0.7352735996246338,24.93626289367676,21.557931900024414
10,0.7471387386322021,22.245463562011718,14.723560333251953
11,0.858989953994751,18.262898635864257,14.003019332885742
12,0.7363810539245605,16.17092094421387,13.03564167022705
13,0.7619156837463379,14.477833366394043,10.237692832946777
14,0.8758528232574463,12.510898208618164,10.23236083984375
15,0.733217716217041,11.415632438659667,9.706188201904297
16,0.7393314838409424,10.334253120422364,8.20909309387207
17,0.8448653221130371,9.079034996032714,8.379337310791016
18,0.7315714359283447,8.435917091369628,8.527202606201172
19,0.7296595573425293,7.859640884399414,7.51314640045166
20,0.8358783721923828,7.041262149810791,7.090622425079346
21,0.730217695236206,6.496932888031006,7.723453044891357
22,0.7430896759033203,6.315224075317383,8.266117095947266
23,0.8445107936859131,6.1191305160522464,7.435968399047852
24,0.7395474910736084,5.534313106536866,7.381911277770996
25,0.7505948543548584,5.255010795593262,7.691945552825928
26,0.7622451782226562,5.170955467224121,7.636563777923584
27,0.9049456119537354,4.8543548583984375,7.587083339691162
28,0.7272131443023682,4.613516330718994,7.587558269500732
29,0.7192168235778809,4.528548049926758,7.7842302322387695
30,0.821742057800293,4.4776427268981935,7.891814231872559
31,0.7389495372772217,4.170392656326294,8.334481239318848
32,0.7313625812530518,4.002909374237061,8.145999908447266
33,0.8439359664916992,3.923897457122803,8.463113784790039
34,0.7325806617736816,3.8877695560455323,8.898026466369629
35,0.723130464553833,3.804168224334717,9.840858459472656
36,0.8296041488647461,3.6006844520568846,10.724003791809082
37,0.7236735820770264,3.4931735038757323,10.56333065032959
38,0.7267937660217285,3.424514961242676,10.38780403137207
39,0.8679394721984863,3.4216868400573732,10.796231269836426
40,0.7233288288116455,3.377908182144165,11.445096015930176
41,0.7405698299407959,3.2679062366485594,12.773270606994629
42,0.8755173683166504,3.142958068847656,13.266900062561035
43,0.7366175651550293,3.064540433883667,12.49247932434082
44,0.7317545413970947,3.009879636764526,12.27833366394043
45,0.7347064018249512,3.0121791839599608,11.961938858032227
46,0.8397996425628662,3.0411675453186033,12.294753074645996
47,0.7216804027557373,3.097581958770752,12.917512893676758
48,0.7330758571624756,3.084264850616455,13.93086051940918
49,0.8301904201507568,2.936856269836426,16.210552215576172
